Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENSG00000108576;P31645,Cell membrane,Transmembrane domain,0.123599999,0.054299999,0.015,0.822799981,0.086099997,0.0105,0.151999995,0.288599998,0.247700006,0.0122
ENSG00000108592;Q8IY81,Nucleus,Nuclear localization signal,0.256399989,0.895299971,0.072400004,0.0196,0.089299999,0.0023,0.069899999,0.0099,0.026000001,0.0008
ENSG00000108602;P30838,Cytoplasm,Peroxisomal targeting signal,0.755200028,0.214599997,0.024,0.317600012,0.252700001,0.0546,0.171900004,0.057399999,0.070200004,0.265199989
ENSG00000108773;Q92830,Nucleus,Nuclear export signal,0.351000011,0.801800013,0.079400003,0.158500001,0.163200006,0.0008,0.037599999,0.138699993,0.096299998,0.0057
ENSG00000108784;P54802,Extracellular,Signal peptide,0.125200003,0.116499998,0.622699976,0.379900008,0.073200002,0.0305,0.380499989,0.541700006,0.432999998,0.022700001
ENSG00000108786;P14061,Cytoplasm,,0.609200001,0.432700008,0.340999991,0.167300001,0.518400013,0.0026,0.238900006,0.155499995,0.250200003,0.138400003
ENSG00000108799;Q92800,Nucleus,Nuclear localization signal,0.222399995,0.936600029,0.0087,0.0462,0.080499999,0.0031,0.053100001,0.0189,0.0164,0.0026
ENSG00000108813;Q92988,Nucleus,Nuclear localization signal|Nuclear export signal,0.316500008,0.894200027,0.0126,0.054099999,0.063600004,0.0003,0.0363,0.056699999,0.024,0.0033
ENSG00000108839;P18054,Cytoplasm,Nuclear localization signal,0.735400021,0.368999988,0.164700001,0.454899997,0.2095,0.0091,0.278400004,0.118100002,0.106299996,0.012
ENSG00000108846;O15438,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.0973,0.081600003,0.016799999,0.757000029,0.124600001,0.0051,0.370099992,0.697700024,0.246099994,0.055100001
ENSG00000108854;Q9HAU4,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.700999975,0.575200021,0.0265,0.394699991,0.0973,0.0024,0.109099999,0.414999992,0.231299996,0.001
ENSG00000108932;O15403,Cell membrane,Transmembrane domain,0.196099997,0.073200002,0.078699999,0.749199986,0.1479,0.004,0.355100006,0.244900003,0.462099999,0.0066
ENSG00000109065;Q9BTE0,Cytoplasm,Peroxisomal targeting signal,0.763100028,0.401499987,0.028899999,0.1426,0.321700007,0.0186,0.582799971,0.202000007,0.3046,0.102799997
ENSG00000109107;P09972,Cytoplasm,Nuclear localization signal,0.872399986,0.4287,0.022600001,0.079800002,0.540899992,0.031300001,0.053100001,0.030300001,0.174400002,0.0228
ENSG00000109181;P36537,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.153899997,0.070100002,0.075499997,0.31189999,0.064099997,0.0074,0.883099973,0.226500005,0.362899989,0.0836
ENSG00000109189;P62068,Cytoplasm,Nuclear localization signal,0.609899998,0.527499974,0.1118,0.190099999,0.123499997,0.0138,0.36559999,0.199699998,0.451999992,0.020199999
ENSG00000109193;P49888,Cytoplasm,,0.80339998,0.2289,0.068700001,0.2289,0.353199989,0.034400001,0.33039999,0.130099997,0.084399998,0.0043
ENSG00000109323;O00462,Extracellular|Lysosome/Vacuole,Signal peptide,0.3037,0.126599997,0.730300009,0.296299994,0.090899996,0.0043,0.566999972,0.625,0.306400001,0.0079
ENSG00000109332;P61077,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.495099992,0.67930001,0.079499997,0.233199999,0.134499997,0.0198,0.094800003,0.255899996,0.370000005,0.176300004
ENSG00000109390;O43677,Mitochondrion,Mitochondrial transit peptide,0.119099997,0.132100001,0.0134,0.118799999,0.939800024,0.0053,0.144700006,0.061500002,0.061500002,0.0222
ENSG00000109424;P25874,Mitochondrion,Transmembrane domain,0.147699997,0.116599999,0.0085,0.226300001,0.8222,0.057,0.2148,0.089500003,0.076499999,0.067299999
ENSG00000109452;O15327,Cytoplasm|Cell membrane,Nuclear localization signal,0.685400009,0.359100014,0.058600001,0.764900029,0.0623,0.0007,0.252499998,0.50940001,0.168099999,0.0013
ENSG00000109576;Q8N5Z0,Cytoplasm,,0.82190001,0.198599994,0.062600002,0.245800003,0.371199995,0.0305,0.189400002,0.235100001,0.3037,0.0166
ENSG00000109586;Q86SF2,Golgi apparatus,Signal peptide|Transmembrane domain,0.150199994,0.1008,0.259600013,0.192900002,0.042399999,0.0099,0.435600013,0.2042,0.962400019,0.0105
ENSG00000109610;P08294,Extracellular,Signal peptide,0.152600005,0.048900001,0.83920002,0.183200002,0.155699998,0.031199999,0.409799993,0.291200012,0.313499987,0.005
ENSG00000109667;Q9NRM0,Cell membrane,Signal peptide|Transmembrane domain,0.142399997,0.087700002,0.038699999,0.785300016,0.100400001,0.0009,0.187700003,0.432599992,0.275700003,0.039900001
ENSG00000109685;O96028,Nucleus,Nuclear localization signal,0.369100004,0.934300005,0.062700003,0.0372,0.059099998,0.020400001,0.0603,0.017200001,0.045200001,0.0011
ENSG00000109743;Q10588,Cell membrane,,0.141200006,0.107199997,0.54339999,0.554499984,0.065899998,0.0083,0.390100002,0.298099995,0.404199988,0.0139
ENSG00000109814;O60701,Nucleus,Nuclear localization signal,0.296700001,0.800400019,0.206900001,0.020400001,0.205899999,0.0029,0.183799997,0.0155,0.0601,0.024800001
ENSG00000109854;Q9BUP3,Cytoplasm|Mitochondrion,Mitochondrial transit peptide,0.727699995,0.152600005,0.0506,0.323500007,0.713100016,0.172499999,0.215299994,0.199300006,0.122900002,0.069499999
ENSG00000109861;P53634,Extracellular,Signal peptide,0.165800005,0.093099996,0.863799989,0.248400003,0.092100002,0.0053,0.391499996,0.564400017,0.378100008,0.0148
ENSG00000109929;O75845,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.125,0.120999999,0.0059,0.137999997,0.149000004,0.035999998,0.942499995,0.280699998,0.316599995,0.042199999
ENSG00000109956;Q9P2W7,Golgi apparatus,Signal peptide|Transmembrane domain,0.115400001,0.0977,0.61650002,0.156000003,0.093000002,0.0051,0.328900009,0.162100002,0.935500026,0.011
ENSG00000110013;Q9HAT2,Extracellular,Signal peptide,0.271899998,0.172600001,0.767099977,0.389200002,0.092900001,0.0119,0.358599991,0.459699988,0.1954,0.0076
ENSG00000110066;Q4FZB7,Nucleus,Nuclear localization signal,0.249899998,0.943499982,0.037300002,0.094400004,0.082900003,0.0065,0.032200001,0.024,0.0244,0.0131
ENSG00000110080;Q11206,Golgi apparatus,Signal peptide|Transmembrane domain,0.218600005,0.239600003,0.349900007,0.102399997,0.215599999,0.0048,0.566100001,0.190899998,0.835500002,0.0079
ENSG00000110090;P50416,Endoplasmic reticulum,,0.193900004,0.163900003,0.0085,0.133300006,0.514699996,0.017899999,0.826399982,0.081100002,0.479499996,0.086099997
ENSG00000110195;P15328,Cell membrane,,0.194399998,0.083400004,0.544399977,0.763100028,0.127000004,0.0027,0.226999998,0.437000006,0.31310001,0.0139
ENSG00000110203;P41439,Extracellular,Signal peptide,0.213699996,0.092200004,0.860400021,0.40290001,0.212799996,0.0074,0.142499998,0.456999987,0.233099997,0.0039
ENSG00000110243;Q6Q788,Extracellular,Signal peptide,0.174400002,0.092,0.8926,0.157600001,0.0836,0.0082,0.439799994,0.298799992,0.526499987,0.0082
ENSG00000110245;P02656,Extracellular,Signal peptide,0.1219,0.068400003,0.859099984,0.052700002,0.029999999,0.0133,0.336600006,0.239800006,0.175799996,0.0079
ENSG00000110328;Q6P9A2,Golgi apparatus,Signal peptide|Transmembrane domain,0.192699999,0.125100002,0.385899991,0.316300005,0.052000001,0.0146,0.549600005,0.169100001,0.964299977,0.0206
ENSG00000110344;Q14139,Cytoplasm,Nuclear export signal,0.691699982,0.493800014,0.0086,0.1373,0.070600003,0.0015,0.246000007,0.218600005,0.233500004,0.0065
ENSG00000110395;P22681,Cytoplasm,Nuclear export signal,0.737600029,0.447600007,0.023399999,0.254400015,0.170200005,0.0026,0.164499998,0.522400022,0.404700011,0.0143
ENSG00000110435;O00330,Mitochondrion,Mitochondrial transit peptide,0.149100006,0.075199999,0.020500001,0.136199996,0.951300025,0.016000001,0.0867,0.0669,0.121299997,0.026799999
ENSG00000110436;P43004,Cell membrane,Transmembrane domain,0.113700002,0.102200001,0.057999998,0.77579999,0.0614,0.0042,0.263999999,0.4296,0.337900013,0.0129
ENSG00000110446;Q8IY34,Cell membrane,Signal peptide|Transmembrane domain,0.117399998,0.198599994,0.151800007,0.543500006,0.153300002,0.001,0.30340001,0.51789999,0.355199993,0.015900001
ENSG00000110536;Q8WUK0,Mitochondrion,Mitochondrial transit peptide,0.279000014,0.0986,0.125200003,0.096000001,0.734000027,0.041299999,0.471100003,0.139799997,0.253199995,0.055599999
ENSG00000110583;Q86UY6,Cytoplasm|Nucleus,Nuclear localization signal,0.624599993,0.673500001,0.188700005,0.151199996,0.181999996,0.0124,0.1514,0.093500003,0.132599995,0.0048
ENSG00000110619;P49589,Cytoplasm|Nucleus,Nuclear localization signal,0.66109997,0.652400017,0.035500001,0.066,0.141599998,0.002,0.261700004,0.096799999,0.040199999,0.007
ENSG00000110628;Q96BI1,Cell membrane,Transmembrane domain,0.196199998,0.219500005,0.130400002,0.645500004,0.330900013,0.0018,0.466899991,0.437599987,0.450599998,0.0124
ENSG00000110713;P52948,Nucleus,Nuclear localization signal,0.283100009,0.76849997,0.0139,0.114500001,0.115999997,0.0054,0.291399986,0.115400001,0.148499995,0.0034
ENSG00000110717;O00217,Mitochondrion,Mitochondrial transit peptide,0.227699995,0.1109,0.029899999,0.179299995,0.946200013,0.0147,0.066299997,0.093500003,0.110399999,0.0261
ENSG00000110719;Q13488,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.257400006,0.141100004,0.031599998,0.788200021,0.111500002,0.0006,0.240799993,0.681699991,0.362800002,0.0063
ENSG00000110721;P35790,Cytoplasm|Nucleus,Nuclear localization signal,0.518999994,0.601499975,0.198300004,0.192399994,0.183300003,0.002,0.457899988,0.142299995,0.208800003,0.0287
ENSG00000110871;Q5HYK3,Mitochondrion,Mitochondrial transit peptide,0.181500003,0.130500004,0.069499999,0.156499997,0.940100014,0.0035,0.126300007,0.076800004,0.153300002,0.051100001
ENSG00000110887;P14920,Peroxisome,Peroxisomal targeting signal,0.218899995,0.308600008,0.0261,0.039700001,0.306800008,0.0757,0.455199987,0.130700007,0.125699997,0.873600006
ENSG00000110911;P49281,Cell membrane|Lysosome/Vacuole,Transmembrane domain,0.176499993,0.105499998,0.043000001,0.795700014,0.166299999,0.0025,0.32249999,0.6505,0.437299997,0.027899999
ENSG00000110921;Q03426,Cytoplasm,Peroxisomal targeting signal,0.485000014,0.3213,0.0138,0.25999999,0.358099997,0.0094,0.291500002,0.079499997,0.208399996,0.617699981
ENSG00000110955;P06576,Mitochondrion,Mitochondrial transit peptide,0.079599999,0.064099997,0.037300002,0.094700001,0.958299994,0.206699997,0.051100001,0.045000002,0.129600003,0.041700002
ENSG00000110958;Q15185,Cytoplasm|Nucleus,,0.797100008,0.698099971,0.0128,0.052000001,0.089199997,0.0022,0.439200014,0.115500003,0.143600002,0.0263
ENSG00000111012;O15528,Mitochondrion,Mitochondrial transit peptide,0.148000002,0.115800001,0.075300001,0.121600002,0.911499977,0.0084,0.082900003,0.037599999,0.068700001,0.0195
ENSG00000111058;Q9H6R3,Mitochondrion,Mitochondrial transit peptide,0.1184,0.1611,0.137600005,0.173999995,0.839600027,0.018200001,0.089599997,0.193499997,0.335200012,0.158700004
ENSG00000111077;Q63HR2,Cytoplasm,Nuclear localization signal,0.664300025,0.399899989,0.089400001,0.423099995,0.186800003,0.0009,0.270099998,0.40169999,0.326000005,0.0022
ENSG00000111144;P09960,Cytoplasm,,0.68870002,0.383700013,0.0722,0.079700001,0.113399997,0.0165,0.353100002,0.050000001,0.275200009,0.1017
ENSG00000111181;P48065,Cell membrane,Transmembrane domain,0.173199996,0.081900001,0.016799999,0.854799986,0.105899997,0.0018,0.201299995,0.4005,0.164700001,0.0317
ENSG00000111218;Q9NR22,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.586700022,0.697300017,0.090099998,0.273400009,0.284200013,0.0054,0.078599997,0.128800005,0.227899998,0.0101
ENSG00000111224;Q9NR21,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.614000022,0.718699992,0.143900007,0.193200007,0.160400003,0.019400001,0.034499999,0.378600001,0.152500004,0.0025
ENSG00000111237;Q9UBQ0,Cytoplasm|Nucleus,Nuclear export signal,0.665899992,0.540400028,0.056899998,0.151600003,0.034400001,0.0014,0.257299989,0.342200011,0.281699985,0.0049
ENSG00000111261;Q9H8J5,Cell membrane,Signal peptide|Transmembrane domain,0.188500002,0.122599997,0.362699986,0.547999978,0.0612,0.0032,0.380199999,0.391499996,0.42930001,0.039900001
ENSG00000111271;Q6JQN1,Mitochondrion,Mitochondrial transit peptide,0.219799995,0.189700007,0.105899997,0.103399999,0.910899997,0.036400001,0.072300002,0.0678,0.063500002,0.148000002
ENSG00000111275;P05091,Mitochondrion,Mitochondrial transit peptide,0.260800004,0.104099996,0.064300001,0.124499999,0.885100007,0.0051,0.075499997,0.0964,0.067299999,0.093199998
ENSG00000111339;Q93070,Extracellular,Signal peptide,0.204600006,0.139599994,0.594200015,0.319499999,0.189300001,0.0178,0.42050001,0.381900012,0.270399988,0.037700001
ENSG00000111371;Q9H2H9,Cell membrane|Lysosome/Vacuole,Signal peptide|Transmembrane domain,0.138500005,0.057799999,0.053199999,0.790099978,0.1065,0.0079,0.372099996,0.758099973,0.410299987,0.017100001
ENSG00000111445;P40937,Cytoplasm|Nucleus,,0.591600001,0.687600017,0.0117,0.163699999,0.233600006,0.0176,0.129299998,0.100199997,0.0319,0.162
ENSG00000111581;P57740,Nucleus,Nuclear localization signal,0.383300006,0.85680002,0.021500001,0.075000003,0.0218,0.0011,0.083999999,0.090999998,0.095299996,0.0045
ENSG00000111640;P04406,Cytoplasm,Peroxisomal targeting signal,0.656300008,0.273499995,0.130700007,0.377099991,0.461400002,0.007,0.120800003,0.053100001,0.050700001,0.316599995
ENSG00000111641;P46087,Nucleus,Nuclear localization signal,0.281500012,0.866900027,0.28670001,0.016899999,0.129700005,0.008,0.091399997,0.0069,0.071199998,0.0027
ENSG00000111666;Q8WUD6,Endoplasmic reticulum|Lysosome/Vacuole|Golgi apparatus,Transmembrane domain,0.217999995,0.149100006,0.0144,0.341699988,0.476999998,0.0095,0.731899977,0.569800019,0.763700008,0.083300002
ENSG00000111667;P45974,Cytoplasm|Nucleus,Nuclear export signal,0.805800021,0.712400019,0.0081,0.052499998,0.045899998,0.0065,0.109099999,0.167600006,0.167899996,0.0009
ENSG00000111669;P60174,Cytoplasm|Mitochondrion,Mitochondrial transit peptide,0.637700021,0.348500013,0.131699994,0.199300006,0.734799981,0.147100002,0.130400002,0.075599998,0.0294,0.0132
ENSG00000111670;Q3T906,Endoplasmic reticulum|Golgi apparatus,Signal peptide|Transmembrane domain,0.136899993,0.147,0.233600006,0.328900009,0.051399998,0.0078,0.67750001,0.357800007,0.879899979,0.0294
ENSG00000111674;P09104,Cytoplasm,,0.861400008,0.263200015,0.154899999,0.219999999,0.265199989,0.0064,0.069200002,0.123000003,0.024599999,0.130099997
ENSG00000111684;Q6P1A2,Endoplasmic reticulum,Transmembrane domain,0.162200004,0.123800002,0.032099999,0.396899998,0.202700004,0.0081,0.894900024,0.037900001,0.119599998,0.038400002
ENSG00000111696;Q86UY8,Mitochondrion,Mitochondrial transit peptide,0.158999994,0.163100004,0.107799999,0.118199997,0.727800012,0.0077,0.1294,0.097800002,0.1417,0.025
ENSG00000111700;Q9NPD5,Cell membrane,Transmembrane domain,0.134299994,0.050900001,0.137899995,0.861699998,0.112999998,0.019099999,0.282400012,0.174899995,0.181500003,0.0196
ENSG00000111713;P54840,Cytoplasm,,0.645299971,0.283600003,0.176499993,0.201000005,0.146200001,0.0138,0.320600003,0.282599986,0.269699991,0.020500001
ENSG00000111716;P07195,Cytoplasm,Peroxisomal targeting signal,0.646700025,0.243499994,0.0188,0.349099994,0.282099992,0.0196,0.305700004,0.079700001,0.213100001,0.449900001
ENSG00000111726;Q8NFW8,Nucleus,Nuclear localization signal,0.339899987,0.723699987,0.041200001,0.037799999,0.137199998,0.111100003,0.138699993,0.0383,0.0792,0.157299995
ENSG00000111728;Q92185,Golgi apparatus,Signal peptide|Transmembrane domain,0.197099999,0.197500005,0.264200002,0.216000006,0.185599998,0.0043,0.573599994,0.1875,0.797399998,0.0072
ENSG00000111732;Q9GZX7,Cytoplasm|Nucleus,Nuclear export signal,0.700299978,0.597599983,0.209399998,0.036899999,0.106399998,0.0003,0.302899987,0.222000003,0.122699998,0.069300003
ENSG00000111775;P12074,Mitochondrion,Mitochondrial transit peptide,0.101300001,0.0517,0.0108,0.089500003,0.967800021,0.0385,0.126599997,0.0469,0.056699999,0.145600006
ENSG00000111817;Q9UL01,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.2183,0.122699998,0.363000005,0.208800003,0.162499994,0.032600001,0.637600005,0.496100008,0.540700018,0.0211
ENSG00000111846;Q8N0V5,Golgi apparatus,Signal peptide|Transmembrane domain,0.213799998,0.119499996,0.536800027,0.236499995,0.065300003,0.0086,0.538600028,0.493400007,0.936500013,0.0101
ENSG00000111880;O60942,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.524600029,0.770399988,0.068800002,0.055500001,0.161300004,0.0016,0.273099989,0.061700001,0.093999997,0.0079
ENSG00000111885;P33908,Golgi apparatus,Signal peptide|Transmembrane domain,0.204099998,0.128399998,0.133200005,0.227200001,0.079400003,0.0018,0.49180001,0.162499994,0.834900022,0.0102
ENSG00000111962;Q9Y2C2,Endoplasmic reticulum|Golgi apparatus,Signal peptide|Transmembrane domain,0.1787,0.1708,0.148699999,0.181400001,0.090800002,0.0038,0.674399972,0.150099993,0.889900029,0.0056
ENSG00000112053;Q96RN1,Cell membrane,Transmembrane domain,0.211500004,0.192200005,0.035399999,0.743799984,0.082099997,0.004,0.265500009,0.405099988,0.354299992,0.026900001
ENSG00000112077;Q02094,Cell membrane,Transmembrane domain,0.065399997,0.079800002,0.0241,0.768999994,0.129600003,0.0084,0.380499989,0.548799992,0.423599988,0.002
ENSG00000112096;P04179,Mitochondrion,Mitochondrial transit peptide,0.153099999,0.061900001,0.036499999,0.194499999,0.965499997,0.092500001,0.030400001,0.057500001,0.057700001,0.078900002
ENSG00000112130;O76064,Cytoplasm|Nucleus,Nuclear localization signal,0.512099981,0.794700027,0.050999999,0.082099997,0.046,0.0003,0.0902,0.105999999,0.076700002,0.0028
ENSG00000112293;P80108,Extracellular|Lysosome/Vacuole,Signal peptide,0.170300007,0.084299996,0.724399984,0.274399996,0.120300002,0.024499999,0.480599999,0.581200004,0.438800007,0.0211
ENSG00000112294;P51649,Mitochondrion,Mitochondrial transit peptide,0.101800002,0.1391,0.033799998,0.088,0.944800019,0.039000001,0.048099998,0.056400001,0.100299999,0.0601
ENSG00000112299;O95497,Cell membrane,,0.124399997,0.062700003,0.389400005,0.742200017,0.0319,0.030300001,0.43689999,0.377099991,0.365700006,0.0071
ENSG00000112303;O95498,Cell membrane,,0.164900005,0.075300001,0.293300003,0.768599987,0.035599999,0.015799999,0.51789999,0.310000002,0.395200014,0.0047
ENSG00000112304;Q9NPJ3,Cytoplasm,Signal peptide,0.729900002,0.139200002,0.305500001,0.097900003,0.291599989,0.024499999,0.406800002,0.440899998,0.128999993,0.108400002
ENSG00000112309;Q9NPZ5,Extracellular|Golgi apparatus,Signal peptide|Transmembrane domain,0.120800003,0.100699998,0.757499993,0.120099999,0.077399999,0.0022,0.308499992,0.162200004,0.886600018,0.0064
ENSG00000112337;O00624,Cell membrane|Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.172800004,0.080499999,0.144199997,0.638599992,0.112199999,0.0028,0.694299996,0.205899999,0.323000014,0.038400002
ENSG00000112367;Q92562,Cytoplasm|Lysosome/Vacuole,Nuclear export signal,0.659600019,0.33950001,0.047899999,0.283100009,0.083999999,0.0011,0.172600001,0.644400001,0.470899999,0.018100001
ENSG00000112394;Q8TF71,Cell membrane,Transmembrane domain,0.164299995,0.078100003,0.0261,0.752399981,0.148800001,0.0041,0.396100014,0.219999999,0.409000009,0.0124
ENSG00000112473;Q92504,Cell membrane|Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.135900006,0.131300002,0.100299999,0.552299976,0.0845,0.0065,0.774800003,0.562900007,0.57980001,0.0133
ENSG00000112499;O15244,Cell membrane,Transmembrane domain,0.167899996,0.070900001,0.057,0.823499978,0.0634,0.0082,0.210899994,0.402399987,0.311300009,0.055399999
ENSG00000112541;Q9Y233,Cytoplasm,Nuclear localization signal|Nuclear export signal,0.77700001,0.378899992,0.025800001,0.425000012,0.234799996,0.0021,0.480500013,0.218500003,0.396800011,0.015900001
ENSG00000112695;P14406,Mitochondrion,Transmembrane domain|Mitochondrial transit peptide,0.114,0.088100001,0.008,0.145199999,0.958599985,0.0165,0.080499999,0.044599999,0.041299999,0.014
ENSG00000112699;O60547,Cytoplasm,,0.552600026,0.431499988,0.0198,0.278100014,0.191200003,0.0115,0.0491,0.255499989,0.208800003,0.0458
ENSG00000112759;Q99808,Cell membrane,Signal peptide|Transmembrane domain,0.143000007,0.116800003,0.064800002,0.545300007,0.062399998,0.001,0.575900018,0.56279999,0.466300011,0.0035
ENSG00000112874;Q9BQG2,Cytoplasm|Peroxisome,Peroxisomal targeting signal,0.814499974,0.269800007,0.0243,0.234899998,0.484200001,0.054299999,0.1127,0.023600001,0.086999997,0.855099976
ENSG00000112893;Q16706,Golgi apparatus,Signal peptide|Transmembrane domain,0.127599999,0.136099994,0.384499997,0.191499993,0.040800001,0.0024,0.498899996,0.361799985,0.933300018,0.028000001
ENSG00000112941;Q5XG87,Cytoplasm|Nucleus,Nuclear localization signal,0.600300014,0.691600025,0.0559,0.098999999,0.184300005,0.0003,0.141399994,0.093400002,0.046399999,0.012
ENSG00000112972;Q01581,Cytoplasm,,0.482199997,0.35800001,0.0185,0.0513,0.168300003,0.0082,0.323700011,0.185399994,0.093199998,0.147499993
ENSG00000112981;P56597,Cytoplasm|Nucleus,,0.563499987,0.636200011,0.0167,0.0801,0.247199997,0.006,0.077299997,0.180299997,0.203500003,0.0288
ENSG00000112992;Q13423,Mitochondrion,Mitochondrial transit peptide,0.115900002,0.092900001,0.019400001,0.165099993,0.914200008,0.2007,0.115699999,0.052000001,0.123800002,0.024700001
ENSG00000113073;Q96Q91,Cell membrane,Transmembrane domain,0.180299997,0.115999997,0.021199999,0.811699986,0.155300006,0.001,0.275000006,0.407900006,0.31279999,0.0043
ENSG00000113083;P28300,Extracellular,Signal peptide,0.141499996,0.128000006,0.911899984,0.283499986,0.167099997,0.0037,0.330900013,0.264800012,0.314799994,0.0126
ENSG00000113161;P04035,Endoplasmic reticulum,,0.215599999,0.229699999,0.0063,0.271600008,0.173800007,0.0138,0.671999991,0.194999993,0.355500013,0.686399996
ENSG00000113163;Q9Y5P4,Cytoplasm|Lysosome/Vacuole|Golgi apparatus,Nuclear export signal,0.616100013,0.337599993,0.0085,0.398699999,0.114500001,0.0058,0.572000027,0.656099975,0.681200027,0.0024
ENSG00000113231;O95263,Cytoplasm,Nuclear export signal,0.662800014,0.448799998,0.015,0.516600013,0.124600001,0.0069,0.274699986,0.247799993,0.311800003,0.0053
ENSG00000113269;Q86XS8,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.242599994,0.156299993,0.0288,0.481599987,0.065200001,0.0022,0.684099972,0.52700001,0.466300011,0.0233
ENSG00000113273;P15848,Extracellular,Signal peptide,0.255299985,0.266299993,0.499300003,0.423299998,0.103100002,0.0022,0.319299996,0.444599986,0.122299999,0.0165
ENSG00000113356;O15318,Nucleus,Nuclear localization signal,0.341800004,0.824899971,0.023700001,0.0634,0.094599999,0.0027,0.059999999,0.0374,0.038800001,0.0002
ENSG00000113396;Q9Y2P4,Endoplasmic reticulum,Peroxisomal targeting signal,0.226899996,0.170000002,0.0517,0.354400009,0.446999997,0.0277,0.68809998,0.1664,0.0964,0.473399997
ENSG00000113407;P26639,Cytoplasm,Nuclear export signal,0.783999979,0.481700003,0.033399999,0.147799999,0.156499997,0.050099999,0.482499987,0.103200004,0.181899995,0.0112
ENSG00000113448;Q08499,Cytoplasm,Nuclear export signal,0.66109997,0.345800012,0.0265,0.409200013,0.147400007,0.0009,0.280999988,0.342099994,0.297600001,0.0173
ENSG00000113456;O60671,Cytoplasm|Nucleus,Nuclear export signal,0.517199993,0.742399991,0.0065,0.164499998,0.254500002,0.0028,0.091899998,0.177100003,0.065200001,0.060400002
ENSG00000113492;Q9BYV1,Mitochondrion,Mitochondrial transit peptide,0.194900006,0.145099998,0.064900003,0.077799998,0.928300023,0.035,0.058800001,0.059700001,0.087700002,0.0548
ENSG00000113504;Q9Y666,Cell membrane,Transmembrane domain,0.221200004,0.142399997,0.0372,0.83859998,0.248099998,0.0007,0.229000002,0.471899986,0.357499987,0.0103
ENSG00000113532;Q92187,Golgi apparatus,Signal peptide|Transmembrane domain,0.151199996,0.178000003,0.509299994,0.1118,0.155499995,0.0097,0.432000011,0.176899999,0.768299997,0.019300001
ENSG00000113552;P46926,Cytoplasm,,0.656199992,0.414900005,0.026799999,0.207800001,0.460399985,0.060400002,0.244000003,0.228300005,0.220799997,0.0414
ENSG00000113569;O75694,Cytoplasm,Nuclear export signal,0.470200002,0.495999992,0.0416,0.157600001,0.188600004,0.0043,0.238299996,0.486099988,0.529299974,0.044300001
ENSG00000113593;Q96BP3,Nucleus,Nuclear localization signal,0.282900006,0.901899993,0.036400001,0.029200001,0.123400003,0.0012,0.090400003,0.0163,0.035100002,0.0035
ENSG00000113643;P54136,Cytoplasm,Nuclear export signal,0.745599985,0.432399988,0.248400003,0.051100001,0.321999997,0.115500003,0.041999999,0.216199994,0.106299996,0.016799999
ENSG00000113657;Q14195,Cytoplasm,Nuclear export signal,0.69630003,0.333600014,0.101000004,0.295599997,0.120999999,0.0034,0.145999998,0.265100002,0.231700003,0.015
ENSG00000113732;O15342,Endoplasmic reticulum,Transmembrane domain,0.0999,0.119099997,0.024599999,0.462199986,0.299899995,0.0266,0.823800027,0.372099996,0.194800004,0.0068
ENSG00000113790;Q08426,Peroxisome,Peroxisomal targeting signal,0.333200008,0.227300003,0.0061,0.185399994,0.359699994,0.083700001,0.0429,0.281100005,0.215900004,0.997699976
ENSG00000113924;Q93099,Cytoplasm|Nucleus,Peroxisomal targeting signal,0.471399993,0.605599999,0.035700001,0.370799989,0.0506,0.039700001,0.248699993,0.443500012,0.049600001,0.099799998
ENSG00000114021;Q9NQR4,Cytoplasm,,0.791299999,0.497500002,0.022399999,0.318800002,0.107100002,0.065800004,0.081100002,0.0208,0.046500001,0.112300001
ENSG00000114054;P05166,Mitochondrion,Mitochondrial transit peptide,0.187199995,0.114699997,0.080200002,0.139599994,0.916199982,0.0068,0.060400002,0.069700003,0.106600001,0.112800002
ENSG00000114062;Q05086,Cytoplasm|Nucleus,Nuclear localization signal|Nuclear export signal,0.6796,0.597100019,0.038600001,0.215700001,0.106200002,0.0079,0.091499999,0.134100005,0.169100001,0.0038
ENSG00000114113;P50120,Cytoplasm,Nuclear localization signal,0.830900013,0.350899994,0.194000006,0.210600004,0.129800007,0.024599999,0.232999995,0.036800001,0.169300005,0.0133
ENSG00000114115;P09455,Cytoplasm,Nuclear localization signal,0.834999979,0.354600012,0.152600005,0.216800004,0.154899999,0.023800001,0.308400005,0.092600003,0.159099996,0.032000002
