genes	geneENSTID	geneENSPID	geneUniProtID	geneSymbols	geneEntrezID	geneNames	geneAliases	compartments	compDataSource
"ENSG00000109861"	"ENST00000678554;ENST00000679224;ENST00000677208;ENST00000533897;ENST00000678395;ENST00000227266;ENST00000677802;ENST00000676612;ENST00000678506;ENST00000677661;ENST00000678520;ENST00000678464;ENST00000678915;ENST00000527018;ENST00000678065;ENST00000679199;ENST00000679032;ENST00000524463;ENST00000528020;ENST00000529974;ENST00000533865;ENST00000677976;ENST00000677796;ENST00000393301;ENST00000677468;ENST00000677877;ENST00000676529;ENST00000677106;ENST00000534131;ENST00000679297;ENST00000678664"	"ENSP00000504541;ENSP00000504475;ENSP00000504347;ENSP00000503123;ENSP00000227266;ENSP00000504115;ENSP00000504440;ENSP00000503580;ENSP00000503323;ENSP00000503361;ENSP00000503046;ENSP00000504805;ENSP00000432556;ENSP00000504179;ENSP00000504567;ENSP00000432541;ENSP00000433229;ENSP00000433539;ENSP00000502887;ENSP00000504297;ENSP00000503502;ENSP00000503100;ENSP00000504427;ENSP00000504568"	"P53634"	"CTSC"	"1075"	"cathepsin C"	"DPP1;PALS;PLS"	"Lysosome"	"SwissProt"
"ENSG00000109929"	"ENST00000264027;ENST00000534455;ENST00000531140;ENST00000524683;ENST00000527762;ENST00000534230;ENST00000392789;ENST00000528991;ENST00000527183"	"ENSP00000264027;ENSP00000436290;ENSP00000432550;ENSP00000376539"	"O75845"	"SC5D"	"6309"	"sterol-C5-desaturase"	"SC5DL"	"Endoplasmic reticulum;Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000109956"	"ENST00000531778;ENST00000312527;ENST00000524765;ENST00000531510;ENST00000392580"	"ENSP00000307875;ENSP00000433847;ENSP00000376359"	"Q9P2W7"	"B3GAT1"	"27087"	"beta-1,3-glucuronyltransferase 1"	"CD57;GlcAT-P;HNK-1;LEU7;NK-1"	"Endoplasmic reticulum;Golgi apparatus"	"SwissProt"
"ENSG00000110013"	"ENST00000263593;ENST00000618733;ENST00000533613;ENST00000436137;ENST00000525730;ENST00000545756"	"ENSP00000263593;ENSP00000478211;ENSP00000437877"	"Q9HAT2"	"SIAE"	"54414"	"sialic acid acetylesterase"	"CSE-C;LSE;MGC87009;YSG2"	"Lysosome"	"SwissProt"
"ENSG00000110066"	"ENST00000304363;ENST00000441488;ENST00000427752;ENST00000401547;ENST00000405515;ENST00000402789;ENST00000402185;ENST00000323599;ENST00000533271;ENST00000524672;ENST00000453170;ENST00000458496;ENST00000434573;ENST00000466295;ENST00000615954"	"ENSP00000305899;ENSP00000411146;ENSP00000387685;ENSP00000385965;ENSP00000385640;ENSP00000385005;ENSP00000384724;ENSP00000313027;ENSP00000406377;ENSP00000403233;ENSP00000402921;ENSP00000484858"	"Q4FZB7"	"KMT5B"	"51111"	"lysine methyltransferase 5B"	"CGI-85;SUV420H1"	"Nucleus"	"SwissProt;CellAtlas"
"ENSG00000110080"	"ENST00000534733;ENST00000227495;ENST00000531217;ENST00000676545;ENST00000676867;ENST00000678865;ENST00000444328;ENST00000677503;ENST00000677721;ENST00000530591;ENST00000534083;ENST00000356132;ENST00000528605;ENST00000526311;ENST00000528858;ENST00000534452;ENST00000392669;ENST00000526756;ENST00000526727;ENST00000676831;ENST00000449406;ENST00000532243;ENST00000534457;ENST00000524834;ENST00000524860;ENST00000533826"	"ENSP00000433495;ENSP00000227495;ENSP00000432929;ENSP00000503901;ENSP00000503991;ENSP00000504245;ENSP00000394354;ENSP00000504548;ENSP00000502908;ENSP00000433989;ENSP00000433318;ENSP00000348451;ENSP00000432647;ENSP00000432424;ENSP00000434756;ENSP00000376437;ENSP00000436047;ENSP00000399444;ENSP00000434349;ENSP00000434668;ENSP00000431170"	"Q11206"	"ST3GAL4"	"6484"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"	"CGS23;FLJ11867;NANTA3;SAT3;SIAT4;SIAT4C;STZ"	"Golgi apparatus"	"SwissProt"
"ENSG00000110090"	"ENST00000540367;ENST00000376618;ENST00000265641;ENST00000539743;ENST00000537756;ENST00000538994;ENST00000565318;ENST00000569129;ENST00000561996"	"ENSP00000439084;ENSP00000365803;ENSP00000265641;ENSP00000446108;ENSP00000454332;ENSP00000457826;ENSP00000455116;ENSP00000457663"	"P50416"	"CPT1A"	"1374"	"carnitine palmitoyltransferase 1A"	"CPT1;CPT1-L;L-CPT1"	"Mitochondria"	"CellAtlas"
"ENSG00000110195"	"ENST00000312293;ENST00000393681;ENST00000675784;ENST00000393679;ENST00000393676"	"ENSP00000308137;ENSP00000377286;ENSP00000502440;ENSP00000377284;ENSP00000377281"	"P15328"	"FOLR1"	"2348"	"folate receptor alpha"	"FOLR;FRÎ±"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110203"	"ENST00000622388;ENST00000612844;ENST00000611028;ENST00000546166;ENST00000442948;ENST00000545379"	"ENSP00000481833;ENSP00000481027;ENSP00000481114;ENSP00000446279;ENSP00000411161"	"P41439"	"FOLR3"	"2352"	"folate receptor gamma"	"FR-G;FRÎ³"	"Extracellular"	"DeepLoc2"
"ENSG00000110245"	"ENST00000433777;ENST00000227667;ENST00000375345;ENST00000470144;ENST00000630701"	"ENSP00000410614;ENSP00000227667;ENSP00000364494;ENSP00000486182"	"P02656"	"APOC3"	"345"	"apolipoprotein C3"	""	"Nucleus"	"CellAtlas"
"ENSG00000110328"	"ENST00000227756;ENST00000526064"	"ENSP00000227756"	"Q6P9A2"	"GALNT18"	"374378"	"polypeptide N-acetylgalactosaminyltransferase 18"	"GalNAc-T18;GALNT15;GALNTL4;MGC71806"	"Golgi apparatus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110344"	"ENST00000252108;ENST00000431736;ENST00000545354"	"ENSP00000252108;ENSP00000387362;ENSP00000438918"	"Q14139"	"UBE4A"	"9354"	"ubiquitination factor E4A"	"E4;KIAA0126;UBOX2;UFD2"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110395"	"ENST00000634586;ENST00000634840;ENST00000264033;ENST00000637974;ENST00000634301"	"ENSP00000489218;ENSP00000489324;ENSP00000264033;ENSP00000490763;ENSP00000489556"	"P22681"	"CBL"	"867"	"Cbl proto-oncogene"	"c-Cbl;CBL2;RNF55"	"Golgi apparatus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110435"	"ENST00000533550;ENST00000448838;ENST00000227868;ENST00000430469;ENST00000533262;ENST00000526309;ENST00000532159;ENST00000477173"	"ENSP00000431281;ENSP00000389404;ENSP00000227868;ENSP00000415695;ENSP00000432277;ENSP00000433204"	"O00330"	"PDHX"	"8050"	"pyruvate dehydrogenase complex component X"	"DLDBP;E3BP;OPDX;PDX1;proX"	"Mitochondria;Nucleus"	"SwissProt;CellAtlas"
"ENSG00000110436"	"ENST00000278379;ENST00000642769;ENST00000464522;ENST00000647076;ENST00000479543;ENST00000642171;ENST00000395753;ENST00000395750;ENST00000644459;ENST00000643522;ENST00000645303;ENST00000644050;ENST00000644779;ENST00000645634;ENST00000643000;ENST00000644299;ENST00000645194;ENST00000642448;ENST00000646080;ENST00000645542;ENST00000644868;ENST00000647104;ENST00000643134;ENST00000531628;ENST00000643454;ENST00000643305;ENST00000646099;ENST00000647372;ENST00000642578;ENST00000646167;ENST00000606205;ENST00000644351;ENST00000642216;ENST00000647193;ENST00000645892;ENST00000642183;ENST00000642224;ENST00000449068;ENST00000646585;ENST00000646847;ENST00000643154;ENST00000646112;ENST00000642196;ENST00000646833;ENST00000645659;ENST00000642392;ENST00000643401;ENST00000645966;ENST00000644100;ENST00000645984"	"ENSP00000278379;ENSP00000493843;ENSP00000435406;ENSP00000496759;ENSP00000495538;ENSP00000379102;ENSP00000379099;ENSP00000495861;ENSP00000496375;ENSP00000496667;ENSP00000496123;ENSP00000494258;ENSP00000493945;ENSP00000495164;ENSP00000494669;ENSP00000496093;ENSP00000494113;ENSP00000496760;ENSP00000494025;ENSP00000495188;ENSP00000436029;ENSP00000495126;ENSP00000494828;ENSP00000495799;ENSP00000495277;ENSP00000494076;ENSP00000495246;ENSP00000476124;ENSP00000496587;ENSP00000406133;ENSP00000493924;ENSP00000493765;ENSP00000493762"	"P43004"	"SLC1A2"	"6506"	"solute carrier family 1 member 2"	"EAAT2;GLT-1"	"Cell membrane"	"DeepLoc2"
"ENSG00000110446"	"ENST00000536491;ENST00000536784;ENST00000538739;ENST00000541505;ENST00000681275;ENST00000679573;ENST00000681882;ENST00000681951;ENST00000227880;ENST00000544101;ENST00000543406;ENST00000537307;ENST00000681015;ENST00000540272"	"ENSP00000439535;ENSP00000441694;ENSP00000441559;ENSP00000445773;ENSP00000505077;ENSP00000505011;ENSP00000506396;ENSP00000506057;ENSP00000227880;ENSP00000437908"	"Q8IY34"	"SLC15A3"	"51296"	"solute carrier family 15 member 3"	"hPTR3;PHT2"	"Lysosome"	"SwissProt"
"ENSG00000110536"	"ENST00000426530;ENST00000534775;ENST00000326656;ENST00000326674;ENST00000527079"	"ENSP00000410272;ENSP00000436160;ENSP00000325882;ENSP00000325958"	"Q8WUK0"	"PTPMT1"	"114971"	"protein tyrosine phosphatase mitochondrial 1"	"DUSP23;MOSP;PLIP"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000110583"	"ENST00000338447;ENST00000536939;ENST00000534965;ENST00000539656;ENST00000544138;ENST00000377793;ENST00000542163;ENST00000545161;ENST00000544194;ENST00000542633"	"ENSP00000440304;ENSP00000438639;ENSP00000440849;ENSP00000367024;ENSP00000442055"	"Q86UY6"	"NAA40"	"79829"	"N-alpha-acetyltransferase 40, NatD catalytic subunit"	"FLJ13848;NAT11"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110619"	"ENST00000531387;ENST00000397111;ENST00000484484;ENST00000278224;ENST00000380525;ENST00000466442;ENST00000470221;ENST00000526890;ENST00000529772;ENST00000465240;ENST00000439280;ENST00000465207;ENST00000524825;ENST00000527330;ENST00000465331"	"ENSP00000431368;ENSP00000380300;ENSP00000278224;ENSP00000369897;ENSP00000432619;ENSP00000408802;ENSP00000434184"	"P49589"	"CARS1"	"833"	"cysteinyl-tRNA synthetase 1"	"CARS"	"Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110628"	"ENST00000347936;ENST00000649076;ENST00000449793;ENST00000380574;ENST00000485423;ENST00000492567;ENST00000498244;ENST00000467719;ENST00000463571;ENST00000498209;ENST00000441077;ENST00000449603;ENST00000495518"	"ENSP00000307859;ENSP00000497561;ENSP00000392072;ENSP00000369948;ENSP00000433019"	"Q96BI1"	"SLC22A18"	"5002"	"solute carrier family 22 member 18"	"BWR1A;BWSCR1A;IMPT1;ITM;ORCTL2;SLC22A1L;TSSC5"	"Cell membrane"	"DeepLoc2"
"ENSG00000110713"	"ENST00000533346;ENST00000359171;ENST00000324932;ENST00000650171;ENST00000355260;ENST00000429801;ENST00000469881;ENST00000482690;ENST00000524563;ENST00000530345;ENST00000488828;ENST00000529063;ENST00000483285;ENST00000397004;ENST00000397007;ENST00000530516;ENST00000527104;ENST00000529379;ENST00000397013;ENST00000461047;ENST00000532475"	"ENSP00000432275;ENSP00000352091;ENSP00000316032;ENSP00000497709;ENSP00000347404;ENSP00000413146;ENSP00000433515;ENSP00000433226;ENSP00000380199;ENSP00000380202;ENSP00000436226;ENSP00000432142;ENSP00000380208;ENSP00000434698"	"P52948"	"NUP98"	"4928"	"nucleoporin 98 and 96 precursor"	"NUP96;Nup98-96;Nup98-Nup96"	"Nucleus"	"SwissProt"
"ENSG00000110717"	"ENST00000432321;ENST00000313468;ENST00000531796;ENST00000453471;ENST00000526446;ENST00000528492;ENST00000532399;ENST00000531228;ENST00000526339;ENST00000525419;ENST00000525628;ENST00000529645;ENST00000524810;ENST00000526542;ENST00000531282"	"ENSP00000315774;ENSP00000403972;ENSP00000433645;ENSP00000432848;ENSP00000433054;ENSP00000436287;ENSP00000433521;ENSP00000432968;ENSP00000431293;ENSP00000434283"	"O00217"	"NDUFS8"	"4728"	"NADH:ubiquinone oxidoreductase core subunit S8"	"CI-23k;TYKY"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000110719"	"ENST00000265686;ENST00000534673;ENST00000524598;ENST00000529657;ENST00000533947;ENST00000532635;ENST00000527530;ENST00000529364;ENST00000525724;ENST00000528981;ENST00000533005;ENST00000525516;ENST00000524870;ENST00000530063;ENST00000530449;ENST00000530802"	"ENSP00000265686;ENSP00000431174;ENSP00000432846;ENSP00000435023;ENSP00000434407;ENSP00000431437;ENSP00000436082;ENSP00000432957"	"Q13488"	"TCIRG1"	"10312"	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"	"a3;Atp6i;ATP6N1C;ATP6V0A3;OC-116;OC116;TIRC7"	"Mitochondria"	"CellAtlas"
"ENSG00000110721"	"ENST00000265689;ENST00000533728;ENST00000525155;ENST00000356135;ENST00000533910;ENST00000528235;ENST00000531341;ENST00000530730"	"ENSP00000265689;ENSP00000432631;ENSP00000348454;ENSP00000435032"	"P35790"	"CHKA"	"1119"	"choline kinase alpha"	"CHK;CKI"	"Endoplasmic reticulum;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110871"	"ENST00000288532;ENST00000445328;ENST00000552443;ENST00000546838;ENST00000547943;ENST00000551769;ENST00000547736;ENST00000547448"	"ENSP00000288532;ENSP00000401798;ENSP00000449863;ENSP00000449874;ENSP00000450001;ENSP00000449933"	"Q5HYK3"	"COQ5"	"84274"	"coenzyme Q5, methyltransferase"	"MGC4767"	"Nucleus;Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000110887"	"ENST00000548052;ENST00000551281;ENST00000228476;ENST00000547122;ENST00000547768;ENST00000549215;ENST00000547166;ENST00000546552"	"ENSP00000446853;ENSP00000228476;ENSP00000448095;ENSP00000449967;ENSP00000449248;ENSP00000447104"	"P14920"	"DAO"	"1610"	"D-amino acid oxidase"	"DAAO;DAMOX"	"Peroxisome"	"SwissProt"
"ENSG00000110911"	"ENST00000551215;ENST00000644495;ENST00000547688;ENST00000643884;ENST00000546636;ENST00000547198;ENST00000646264;ENST00000262052;ENST00000394904;ENST00000550782;ENST00000643123;ENST00000646740;ENST00000642227;ENST00000541174;ENST00000545993;ENST00000546743;ENST00000548554;ENST00000551231;ENST00000550061;ENST00000547510;ENST00000546488;ENST00000547579;ENST00000550714;ENST00000547732;ENST00000549110;ENST00000548193;ENST00000646988;ENST00000549625;ENST00000549193;ENST00000681324;ENST00000550995;ENST00000550329;ENST00000548150"	"ENSP00000450227;ENSP00000494107;ENSP00000449200;ENSP00000493633;ENSP00000449008;ENSP00000446769;ENSP00000494744;ENSP00000262052;ENSP00000378364;ENSP00000494001;ENSP00000494696;ENSP00000444542;ENSP00000442810;ENSP00000446914;ENSP00000446653;ENSP00000450389;ENSP00000447482;ENSP00000446984;ENSP00000447102;ENSP00000449209;ENSP00000494619;ENSP00000448501;ENSP00000505087;ENSP00000448273"	"P49281"	"SLC11A2"	"4891"	"solute carrier family 11 member 2"	"DCT1;DMT1;NRAMP2"	"Mitochondria"	"CellAtlas"
"ENSG00000110921"	"ENST00000539335;ENST00000546277;ENST00000535044;ENST00000447878;ENST00000228510;ENST00000539696;ENST00000537237;ENST00000545774;ENST00000392727;ENST00000639206;ENST00000629016;ENST00000539575;ENST00000625889;ENST00000636996;ENST00000636529;ENST00000545516;ENST00000540353"	"ENSP00000440379;ENSP00000438153;ENSP00000415555;ENSP00000228510;ENSP00000439134;ENSP00000445382;ENSP00000443978;ENSP00000376487;ENSP00000492778;ENSP00000486804;ENSP00000443551;ENSP00000486846;ENSP00000490869;ENSP00000490904"	"Q03426"	"MVK"	"4598"	"mevalonate kinase"	"LRBP;MK"	"Peroxisome;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000110955"	"ENST00000548474;ENST00000262030;ENST00000551182;ENST00000547808;ENST00000547250;ENST00000551020;ENST00000550162;ENST00000552959;ENST00000551570;ENST00000553007;ENST00000548647"	"ENSP00000262030;ENSP00000446677;ENSP00000446489;ENSP00000448428;ENSP00000447571"	"P06576"	"ATP5F1B"	"506"	"ATP synthase F1 subunit beta"	"ATP5B;ATPSB"	"Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000110958"	"ENST00000537473;ENST00000614328;ENST00000262033;ENST00000414274;ENST00000436399;ENST00000448157;ENST00000456859"	"ENSP00000482075;ENSP00000262033;ENSP00000405299;ENSP00000402385;ENSP00000414892;ENSP00000389090"	"Q15185"	"PTGES3"	"10728"	"prostaglandin E synthase 3"	"cPGES;p23;TEBP"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111012"	"ENST00000228606;ENST00000547344;ENST00000546567;ENST00000547451;ENST00000546609;ENST00000552186;ENST00000546496"	"ENSP00000228606;ENSP00000449472;ENSP00000476959"	"O15528"	"CYP27B1"	"1594"	"cytochrome P450 family 27 subfamily B member 1"	"CYP1;P450c1;PDDR;VDD1"	"Mitochondria"	"DeepLoc2"
"ENSG00000111058"	"ENST00000616449;ENST00000549175;ENST00000650935;ENST00000651903;ENST00000548058;ENST00000261206;ENST00000548387;ENST00000548324;ENST00000551745;ENST00000546664"	"ENSP00000447748;ENSP00000449535;ENSP00000261206;ENSP00000449507"	"Q9H6R3"	"ACSS3"	"79611"	"acyl-CoA synthetase short chain family member 3"	"FLJ21963"	"Mitochondria"	"SwissProt;CellAtlas"
"ENSG00000111077"	"ENST00000379902;ENST00000314276;ENST00000549498;ENST00000551302;ENST00000314250;ENST00000552403;ENST00000549311;ENST00000546602;ENST00000552570;ENST00000549700;ENST00000551693;ENST00000549789;ENST00000547223;ENST00000602335;ENST00000546759;ENST00000551583;ENST00000546772;ENST00000550660;ENST00000552168;ENST00000550048"	"ENSP00000369232;ENSP00000319756;ENSP00000319684;ENSP00000449363;ENSP00000447021;ENSP00000449361;ENSP00000473388;ENSP00000449165"	"Q63HR2"	"TNS2"	"23371"	"tensin 2"	"C1-TEN;KIAA1075;TENC1"	"Cytosol"	"SwissProt"
"ENSG00000111144"	"ENST00000228740;ENST00000537111;ENST00000552789;ENST00000553041;ENST00000413268;ENST00000548852;ENST00000547393;ENST00000548375;ENST00000547982;ENST00000552091"	"ENSP00000228740;ENSP00000449958;ENSP00000395051;ENSP00000449340"	"P09960"	"LTA4H"	"4048"	"leukotriene A4 hydrolase"	""	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111181"	"ENST00000359674;ENST00000545058;ENST00000424061;ENST00000536824;ENST00000542825;ENST00000535498;ENST00000544782;ENST00000538272;ENST00000540094;ENST00000538580;ENST00000536116;ENST00000537793;ENST00000535347;ENST00000537826;ENST00000538424;ENST00000397296;ENST00000684302"	"ENSP00000352702;ENSP00000399136;ENSP00000444268;ENSP00000439351;ENSP00000446082;ENSP00000380464;ENSP00000508194"	"P48065"	"SLC6A12"	"6539"	"solute carrier family 6 member 12"	"BGT-1"	"Cell membrane"	"DeepLoc2"
"ENSG00000111224"	"ENST00000416739;ENST00000427057;ENST00000458162;ENST00000228820;ENST00000476985;ENST00000453942;ENST00000450737;ENST00000447133"	"ENSP00000392392;ENSP00000397058;ENSP00000399665;ENSP00000228820;ENSP00000395062;ENSP00000387481;ENSP00000405385"	"Q9NR21"	"PARP11"	"57097"	"poly(ADP-ribose) polymerase family member 11"	"ARTD11;C12orf6"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111237"	"ENST00000549578;ENST00000360579;ENST00000621131;ENST00000552130;ENST00000447578;ENST00000546588;ENST00000548539;ENST00000549970;ENST00000548259;ENST00000553128;ENST00000551655;ENST00000550267"	"ENSP00000447058;ENSP00000353786;ENSP00000480853;ENSP00000449954;ENSP00000400048;ENSP00000449044;ENSP00000447634"	"Q9UBQ0"	"VPS29"	"51699"	"VPS29 retromer complex component"	"DC15;DC7;PEP11"	"Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111261"	"ENST00000535902;ENST00000396349;ENST00000545735;ENST00000543314"	"ENSP00000438205;ENSP00000379638;ENSP00000445303;ENSP00000437624"	"Q9H8J5"	"MANSC1"	"54682"	"MANSC domain containing 1"	"FLJ10298;LOH12CR3"	"Golgi apparatus"	"CellAtlas"
"ENSG00000111275"	"ENST00000416293;ENST00000261733;ENST00000548536;ENST00000549106;ENST00000551450"	"ENSP00000403349;ENSP00000261733;ENSP00000448179;ENSP00000474669"	"P05091"	"ALDH2"	"217"	"aldehyde dehydrogenase 2 family member"	""	"Mitochondria"	"SwissProt"
"ENSG00000111339"	"ENST00000228936;ENST00000430129;ENST00000544616;ENST00000420600"	"ENSP00000228936;ENSP00000412735;ENSP00000442877;ENSP00000405689"	"Q93070"	"ART4"	"420"	"ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)"	"ARTC4;CD297;DO;DOK1"	"Cytosol"	"CellAtlas"
"ENSG00000111371"	"ENST00000398637;ENST00000549049;ENST00000439706;ENST00000546893;ENST00000552197;ENST00000548979;ENST00000549633;ENST00000551506;ENST00000550173;ENST00000546519;ENST00000612161"	"ENSP00000381634;ENSP00000449607;ENSP00000398142;ENSP00000447853;ENSP00000449756;ENSP00000449744;ENSP00000478907"	"Q9H2H9"	"SLC38A1"	"81539"	"solute carrier family 38 member 1"	"ATA1;NAT2;SAT1"	"Cell membrane;Lysosome"	"DeepLoc2"
"ENSG00000111445"	"ENST00000449641;ENST00000537315;ENST00000484086;ENST00000420967;ENST00000454402;ENST00000392542;ENST00000535092;ENST00000472603;ENST00000543153"	"ENSP00000393636;ENSP00000443187;ENSP00000445917;ENSP00000390340;ENSP00000408295;ENSP00000376325;ENSP00000438252"	"P40937"	"RFC5"	"5985"	"replication factor C subunit 5"	"RFC36"	"Nucleus"	"SwissProt;CellAtlas"
"ENSG00000111581"	"ENST00000229179;ENST00000540453;ENST00000535333;ENST00000537598;ENST00000535718;ENST00000539906;ENST00000538549;ENST00000545140;ENST00000539373;ENST00000537662;ENST00000538993;ENST00000401003;ENST00000378905"	"ENSP00000229179;ENSP00000445567;ENSP00000441448;ENSP00000440116;ENSP00000441334;ENSP00000368185"	"P57740"	"NUP107"	"57122"	"nucleoporin 107"	"NUP84"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111640"	"ENST00000496049;ENST00000229239;ENST00000396856;ENST00000492719;ENST00000396861;ENST00000474249;ENST00000466588;ENST00000396859;ENST00000466525;ENST00000396858;ENST00000619601"	"ENSP00000229239;ENSP00000380065;ENSP00000380070;ENSP00000380068;ENSP00000380067;ENSP00000478864"	"P04406"	"GAPDH"	"2597"	"glyceraldehyde-3-phosphate dehydrogenase"	"GAPD"	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111666"	"ENST00000550385;ENST00000229266;ENST00000549872;ENST00000549128;ENST00000552351;ENST00000546490;ENST00000552215;ENST00000552329;ENST00000546873;ENST00000552213"	"ENSP00000229266;ENSP00000448766;ENSP00000446994;ENSP00000447887;ENSP00000448831;ENSP00000447920;ENSP00000448369"	"Q8WUD6"	"CHPT1"	"56994"	"choline phosphotransferase 1"	"CPT1"	"Golgi apparatus"	"SwissProt"
"ENSG00000111667"	"ENST00000229268;ENST00000389231;ENST00000542087;ENST00000535080;ENST00000537267;ENST00000541969;ENST00000542371"	"ENSP00000229268;ENSP00000373883;ENSP00000444668"	"P45974"	"USP5"	"8078"	"ubiquitin specific peptidase 5"	"IsoT"	"Cytosol;Nucleus"	"CellAtlas"
"ENSG00000111669"	"ENST00000229270;ENST00000613953;ENST00000396705;ENST00000488464;ENST00000535434;ENST00000493987;ENST00000462761;ENST00000495834;ENST00000482209;ENST00000474253"	"ENSP00000229270;ENSP00000484435;ENSP00000379933;ENSP00000475620;ENSP00000443599;ENSP00000475364;ENSP00000475184;ENSP00000475829"	"P60174"	"TPI1"	"7167"	"triosephosphate isomerase 1"	""	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111670"	"ENST00000299314;ENST00000549738;ENST00000550718;ENST00000549194;ENST00000552009;ENST00000549940;ENST00000552681;ENST00000550352;ENST00000647144;ENST00000392919;ENST00000549165"	"ENSP00000299314;ENSP00000450161;ENSP00000449557;ENSP00000449150;ENSP00000449217;ENSP00000376651;ENSP00000450413"	"Q3T906"	"GNPTAB"	"79158"	"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta"	"GNPTA;KIAA1208;MGC4170"	"Golgi apparatus"	"SwissProt;CellAtlas"
"ENSG00000111674"	"ENST00000537688;ENST00000541477;ENST00000537838;ENST00000536199;ENST00000229277;ENST00000538763;ENST00000539713;ENST00000542509;ENST00000545045;ENST00000535366;ENST00000441285;ENST00000535275;ENST00000543975;ENST00000534977"	"ENSP00000445788;ENSP00000438873;ENSP00000229277;ENSP00000441490;ENSP00000438062;ENSP00000437402;ENSP00000476096;ENSP00000476112"	"P09104"	"ENO2"	"2026"	"enolase 2"	""	"Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111684"	"ENST00000261407;ENST00000535479;ENST00000535021;ENST00000540090;ENST00000543794;ENST00000536797;ENST00000537179;ENST00000538987;ENST00000540060;ENST00000620843;ENST00000536971;ENST00000545459;ENST00000538910"	"ENSP00000261407;ENSP00000438765;ENSP00000442454;ENSP00000443166;ENSP00000440550;ENSP00000437827"	"Q6P1A2"	"LPCAT3"	"10162"	"lysophosphatidylcholine acyltransferase 3"	"C3F;MBOAT5;nessy;OACT5"	"Endoplasmic reticulum"	"SwissProt"
"ENSG00000111696"	"ENST00000447799;ENST00000392876;ENST00000415849;ENST00000474268;ENST00000465502"	"ENSP00000413657;ENSP00000376615;ENSP00000399171"	"Q86UY8"	"NT5DC3"	"51559"	"5'-nucleotidase domain containing 3"	"FLJ11266;TU12B1-TY"	"Mitochondria;Cytosol"	"CellAtlas"
"ENSG00000111700"	"ENST00000540853;ENST00000381545;ENST00000545880;ENST00000544370;ENST00000261196"	"ENSP00000442000;ENSP00000370956;ENSP00000443225;ENSP00000261196"	"Q9NPD5"	"SLCO1B3"	"28234"	"solute carrier organic anion transporter family member 1B3"	"OATP1B3;OATP8;SLC21A8"	"Cell membrane"	"DeepLoc2"
"ENSG00000111713"	"ENST00000261195"	"ENSP00000261195"	"P54840"	"GYS2"	"2998"	"glycogen synthase 2"	""	"Cytosol"	"DeepLoc2"
"ENSG00000111716"	"ENST00000542765;ENST00000470985;ENST00000396076;ENST00000350669;ENST00000673047;ENST00000396075;ENST00000470280;ENST00000450584;ENST00000539782;ENST00000544151;ENST00000535112"	"ENSP00000379386;ENSP00000229319;ENSP00000500484;ENSP00000379385;ENSP00000398015;ENSP00000442680"	"P07195"	"LDHB"	"3945"	"lactate dehydrogenase B"	""	"Cytosol;Inner mitochondria"	"SwissProt;CellAtlas"
"ENSG00000111726"	"ENST00000229329;ENST00000534981;ENST00000535610;ENST00000538498;ENST00000537658"	"ENSP00000229329;ENSP00000446239;ENSP00000439404;ENSP00000440605"	"Q8NFW8"	"CMAS"	"55907"	"cytidine monophosphate N-acetylneuraminic acid synthetase"	""	"Nucleus;Cytosol"	"SwissProt;CellAtlas"
"ENSG00000111728"	"ENST00000536535;ENST00000544732;ENST00000537795;ENST00000545524;ENST00000396037;ENST00000261197;ENST00000545494;ENST00000508924;ENST00000540824;ENST00000538256;ENST00000541868;ENST00000404299;ENST00000536558;ENST00000381424;ENST00000545185"	"ENSP00000379353;ENSP00000261197;ENSP00000441707;ENSP00000444999;ENSP00000440292;ENSP00000384467;ENSP00000370832"	"Q92185"	"ST8SIA1"	"6489"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"	"SIAT8;SIAT8A"	"Golgi apparatus"	"SwissProt"
